solver,mean_baseline,noisy_solver,linear_ridge,svr_rbf,knn,lightgbm,random_forest,mlp_regressor,hrm_regressor,pca_v1,spatial_lag_v1,gnn_v2
mean_baseline,0.0,10.00610373348677,7.628350182107543,8.553253450300273,10.303620170479219,10.228897121810562,9.750430116747507,9.288650496836542,7.77002575606676,9.331464702969784,9.825446376463143,9.31973396435297
noisy_solver,10.00610373348677,0.0,3.3377362158054797,3.448947867546263,4.370393130851629,4.458326823327842,5.455763808406033,8.329096539906283,4.172495340176744,4.750003500728486,4.523571694716468,4.5854242235960525
linear_ridge,7.628350182107543,3.3377362158054797,0.0,1.5193650957455977,3.4304758196282723,3.2386613624583713,3.479688099977106,5.758681307042777,1.2826076350339697,2.5802601512763057,2.9504386138759466,2.5053787992434544
svr_rbf,8.553253450300273,3.448947867546263,1.5193650957455977,0.0,2.023432661221959,2.0502171695597493,2.383834536500376,5.787231097411297,1.099236345437242,2.1868662118347864,1.83949675402105,1.8100921851666005
knn,10.303620170479219,4.370393130851629,3.4304758196282723,2.023432661221959,0.0,0.8069382012905525,1.6790124350155724,5.8819721480237925,2.7174038820145014,2.423115816620627,1.0809056107684547,1.9472995031512532
lightgbm,10.228897121810562,4.458326823327842,3.2386613624583713,2.0502171695597493,0.8069382012905525,0.0,1.3684492573731633,5.273469544198888,2.5252925087045295,1.7256020157501906,0.4694397452538892,1.320258899044122
random_forest,9.750430116747507,5.455763808406033,3.479688099977106,2.383834536500376,1.6790124350155724,1.3684492573731633,0.0,4.697304282685568,2.4264859640968615,1.735183607447361,1.1705637125893122,1.3342648337468095
mlp_regressor,9.288650496836542,8.329096539906283,5.758681307042777,5.787231097411297,5.8819721480237925,5.273469544198888,4.697304282685568,0.0,4.977079810713478,4.247357860286083,4.967747603945694,4.4730068519614745
hrm_regressor,7.77002575606676,4.172495340176744,1.2826076350339697,1.099236345437242,2.7174038820145014,2.5252925087045295,2.4264859640968615,4.977079810713478,0.0,1.971442318993022,2.161146979857556,1.7343749307690748
pca_v1,9.331464702969784,4.750003500728486,2.5802601512763057,2.1868662118347864,2.423115816620627,1.7256020157501906,1.735183607447361,4.247357860286083,1.971442318993022,0.0,1.3922670582768604,0.5774707710192227
spatial_lag_v1,9.825446376463143,4.523571694716468,2.9504386138759466,1.83949675402105,1.0809056107684547,0.4694397452538892,1.1705637125893122,4.967747603945694,2.161146979857556,1.3922670582768604,0.0,0.9729099043475412
gnn_v2,9.31973396435297,4.5854242235960525,2.5053787992434544,1.8100921851666005,1.9472995031512532,1.320258899044122,1.3342648337468095,4.4730068519614745,1.7343749307690748,0.5774707710192227,0.9729099043475412,0.0
